net,length_um
clk,1747.71
_0215_,246.9
_0453_,240.78
_0917_,235.62
_0953_,229.39
_0708_,217.61
_0527_,216.92
_0570_,213.73
net26,206.89
_0701_,202.12
_0197_,194.18
_0544_,191.98
_0590_,186.88
_0935_,183.79
_0611_,179.68
net28,178.92
_0898_,178.7
_0271_,175.53
net27,170.18
_0515_,167.24
_0852_,163.92
net30,163
_0636_,162.8
_0236_,162.46
_0562_,160.25
_0196_,159.4
net21,153.44
_0549_,152.82
net22,150.04
_0723_,149.88
net34,149.26
net20,149.175
net32,148.66
net33,147.44
net19,146.69
_0255_,144.95
_0214_,144.5
_0505_,144.48
_0237_,140.98
_0881_,136.61
_0899_,134.94
_0526_,132.58
_0543_,132.18
_0518_,130.27
net23,128.66
net29,125.74
_0869_,123.1
_0550_,122.7
net31,120.52
_0581_,119.84
_0517_,119.06
_0452_,118.37
net15,117.9
_0720_,117.47
net24,117.34
_0257_,114.88
_0734_,114.56
_0952_,114.17
_0916_,113.92
_0521_,113.7
_0559_,112.7
_0241_,112.21
_0563_,107.4
_0244_,104.78
_0522_,103.21
net25,102.86
_0554_,94.48
_0851_,91.46
_0721_,83.64
net1,80.02
_0504_,79
_0356_,77.62
net18,76.64
_0555_,76.56
net17,75.46
net35,75.1
_0474_,73.98
_0589_,71.02
_0676_,69.6
_0880_,67.3
_0879_,67.28
_0501_,66.62
_0934_,62.475
_0601_,61.86
net11,61.7
_0752_,60.52
net8,58.9
_0240_,57.9
_0642_,57.7
net14,57.14
_0547_,54.44
net13,53.96
_0670_,52.52
_0803_,52.04
_0022_,49.465
_0540_,49.44
net12,47.7
Control_unit_module.IR\[7\],47.61
_0659_,47.18
net9,46.86
_0732_,45.14
_0810_,45.1
_0296_,44.64
_0239_,42.06
_0733_,41.62
_0789_,41.36
_0520_,41.26
net10,41.06
net3,39.2
_0578_,39.18
net2,39.06
_0764_,38.96
_0773_,38.92
_0875_,38.58
_0622_,36.88
net4,36.02
_0653_,35.42
_0624_,35.16
_0825_,34.04
_0489_,34
net16,33.88
_0485_,33.26
_0603_,32.4
_0628_,32.38
_0580_,31.36
ALU_16bit.aluout\[7\],31.3
_0243_,31.2
_0023_,31.065
_0831_,31.04
_0675_,30.88
_0318_,29.92
Control_unit_module.state\[1\],29.42
ALU_16bit.aluout\[0\],29.12
_0409_,28.78
net5,28.78
_0632_,28.74
_0848_,28.62
_0440_,28.4
_0832_,28.3
_0770_,28.22
_0483_,28.16
ALU_16bit.aluout\[5\],27.98
_0289_,27.9
_0538_,27.7
ALU_16bit.aluout\[8\],27.42
_0021_,27.385
_0625_,27.36
_0479_,27.13
_0672_,27.12
ALU_16bit.aluout\[6\],26.9
_0715_,26.78
_0502_,26.22
ALU_16bit.addsub.raout\[6\],26.06
_0472_,25.16
_0499_,24.98
ALU_16bit.addsub.raout\[10\],24.92
buswires[10],24.9
Control_unit_module.state\[0\],24.6
ALU_16bit.aluout\[2\],24.36
ALU_16bit.aluout\[1\],24.34
_0506_,24.34
_0558_,24.34
_0805_,23.8
ALU_16bit.aluout\[9\],23.54
_0621_,23.42
_0842_,23.42
ALU_16bit.addsub.raout\[12\],23.26
_0577_,23.22
_0746_,23.18
_0476_,23.04
_0480_,22.73
_0534_,22.2
_0772_,22.08
_0819_,22.06
ALU_16bit.addsub.raout\[2\],21.98
_0529_,21.94
_0792_,21.92
din[13],21.8
din[14],21.78
_0705_,21.7
_0847_,21.7
buswires[11],21.68
_0696_,21.48
ALU_16bit.addsub.raout\[9\],21.34
ALU_16bit.aluout\[12\],20.68
_0342_,20.52
ALU_16bit.aluout\[13\],20.32
Mux.r0\[15\],20.32
_0691_,20
buswires[12],19.84
_0844_,19.66
Control_unit_module.IR\[3\],19.65
ALU_16bit.addsub.raout\[4\],19.6
Mux.r6\[13\],19.4
_0374_,19.4
_0754_,19.38
Mux.r7\[12\],19.24
_0694_,18.94
net6,18.9
_0849_,18.88
din[15],18.88
Control_unit_module.IR\[1\],18.86
Mux.r6\[15\],18.68
_0561_,18.66
_0700_,18.62
din[12],18.58
_0651_,18.54
Control_unit_module.IR\[0\],18.52
ALU_16bit.aluout\[15\],18.46
_0262_,18.3
_0487_,18.26
_0826_,18.15
_0830_,18.12
Control_unit_module.IR\[2\],18
_0824_,17.8
ALU_16bit.addsub.raout\[11\],17.64
_0322_,17.42
_0278_,16.9
buswires[14],16.86
Mux.r2\[5\],16.82
buswires[13],16.78
_0391_,16.7
_0687_,16.56
_0629_,16.52
_0425_,16.46
_0334_,16.3
_0263_,16.28
_0531_,16.2
ALU_16bit.addsub.raout\[13\],16.18
_0401_,15.74
_0783_,15.72
_0809_,15.36
_0666_,15.1
_0290_,15.06
_0837_,15.04
Control_unit_module.IR\[6\],15.02
_0291_,14.98
_0320_,14.86
_0897_,14.86
_0640_,14.82
_0644_,14.76
_0718_,14.74
_0242_,14.7
_0814_,14.7
_0639_,14.58
_0416_,14.56
_0637_,14.46
_0799_,14.46
Mux.r0\[11\],14.22
Mux.r3\[8\],14.22
_0680_,14.14
_0576_,14.12
